,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genres,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
1,tt6155172,"[""'Drama'""]",135,2018-08-25,21,1,1,10,4,16,2,11,8.1,248120,8,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,tt1477834,"[""'Action'"", "" 'Fantasy'"", "" 'Science Fiction'"", "" 'Adventure'""]",143,2018-12-07,85,1,6,10,13,71,6,21,7.5,160000000,12,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,tt4881806,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",129,2018-06-06,104,1,3,7,9,114,4,48,6.2,170000000,6,"['Action', 'Adventure', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,tt1270797,"[""'Science Fiction'"", "" 'Action'""]",112,2018-09-28,123,1,5,9,4,121,7,27,6.8,100000000,9,"['Science Fiction', 'Action']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,tt2557478,"[""'Action'"", "" 'Fantasy'"", "" 'Science Fiction'"", "" 'Adventure'""]",111,2018-03-21,82,1,5,14,13,90,10,35,5.6,150000000,3,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6,tt1517451,"[""'Drama'"", "" 'Music'"", "" 'Romance'""]",135,2018-10-03,127,1,9,15,8,66,7,16,8.0,36000000,10,"['Drama', 'Music', 'Romance']",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
7,tt4154756,"[""'Adventure'"", "" 'Action'"", "" 'Fantasy'""]",149,2018-04-25,103,2,12,14,19,182,3,44,8.5,321000000,4,"['Adventure', 'Action', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,tt5814060,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",96,2018-09-05,51,1,2,9,4,33,3,18,5.4,22000000,9,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
9,tt7784604,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",127,2018-06-04,32,1,1,13,2,8,1,25,7.3,10000000,6,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
10,tt5104604,"[""'Adventure'"", "" 'Comedy'"", "" 'Animation'""]",101,2018-03-23,49,1,4,13,17,2,4,1,7.9,1620294,3,"['Adventure', 'Comedy', 'Animation']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
