,0
tt4154756,"['$321,000,000']"
tt6644200,"['$17,000,000']"
tt2548396,"['$26,000,000']"
tt1259528,"['$30,000,000']"
tt1213641,"['$59,000,000']"
tt3778644,"['$300,000,000']"
tt3829266,"['$88,000,000']"
tt1825683,"['$200,000,000']"
tt4633694,"['$90,000,000']"
tt3104988,"['$30,000,000']"
tt1517451,"['$36,000,000']"
tt1727824,"['$52,000,000']"
tt1590193,"['$30,000,000']"
tt6412452,
tt4881806,"['$170,000,000']"
tt3606756,"['$200,000,000']"
tt5164432,"['$17,000,000']"
tt2231461,"['$120,000,000']"
tt7040874,"['$20,000,000']"
tt5463162,"['$110,000,000']"
tt2854926,"['$28,000,000']"
tt4500922,"['$62,000,000']"
tt6499752,"['$5,000,000']"
tt2737304,
tt3766354,"['$62,000,000']"
tt7668870,"['$388,769']"
tt4912910,"['$178,000,000']"
tt1365519,"['$94,000,000']"
tt2557478,"['$150,000,000']"
tt6155172,"['$248,120']"
tt5758778,"['$125,000,000']"
tt4123430,"['$200,000,000']"
tt4779682,"['$130,000,000']"
tt6628394,"['$32,000,000']"
tt1677720,"['$175,000,000']"
tt7349662,"['$15,000,000']"
tt2704998,"['$37,000,000']"
tt0261024,"['£150,000,000']"
tt5095030,"['$162,000,000']"
tt2873282,"['$69,000,000']"
tt1477834,"['$160,000,000']"
tt5164214,"['$70,000,000']"
tt9495224,
tt1502407,"['$10,000,000']"
tt5814060,"['$22,000,000']"
tt7784604,"['$10,000,000']"
tt2798920,"['$40,000,000']"
tt5052474,"['$35,000,000']"
tt1270797,"['$100,000,000']"
tt5104604,"['$1,620,294']"
tt3846674,
tt6850820,"['$25,000,000']"
tt4701182,"['$135,000,000']"
tt6791096,"['$32,000,000']"
tt6217306,
tt5246700,"['$20,000,000']"
tt5610554,"['$3,282,610']"
tt5397194,"['$20,000,000']"
tt3799232,
tt3892172,"['$219,140']"
tt1620680,"['$100,000,000']"
tt2531344,"['$21,000,000']"
tt7014006,"['$2,000,000']"
tt4575576,"['$75,000,000']"
tt1137450,"['$30,000,000']"
tt5083738,"['$15,000,000']"
tt6921996,"['$25,000,000']"
tt0795421,"['$52,000,000']"
tt5688932,"['$727,266']"
tt7153766,"['$1,500,000']"
tt4560436,"['$50,000,000']"
tt5028340,"['$130,000,000']"
tt6966692,"['$23,000,000']"
tt1413492,"['$15,815,025']"
tt6697582,"['$13,547,689']"
tt5848272,"['$175,000,000']"
tt8108198,"['$278,677']"
tt6133466,"['$13,000,000']"
tt6911608,"['$75,000,000']"
tt2119543,"['$42,000,000']"
tt6306064,"['$35,000,000']"
tt6663582,"['$40,000,000']"
tt3201640,
tt5304992,
tt7431594,"['$1,690,861']"
tt5834262,"['$15,000,000']"
tt5783956,"['$10,000,000']"
tt4218572,"['$42,000,000']"
tt4244998,"['$51,000,000']"
tt2388771,
tt6212478,"['$134,793']"
tt6452574,"['$2,723,349']"
tt2990140,
tt5726086,"['$10,000,000']"
tt6343314,"['$50,000,000']"
tt7668842,"['$3,595,901']"
tt4477536,"['$55,000,000']"
tt6772950,"['$3,500,000']"
tt5220122,"['$80,000,000']"
tt5117670,"['$50,000,000']"
tt6998518,"['$6,000,000']"
tt6679794,
tt3521126,"['$10,000,000']"
tt1485796,"['$84,000,000']"
tt2380307,"['$175,000,000']"
tt2771200,"['$160,000,000']"
tt5442430,"['$58,000,000']"
tt2283362,"['$90,000,000']"
tt3501632,"['$180,000,000']"
tt5362988,"['$11,000,000']"
tt0974015,"['$300,000,000']"
tt3731562,"['$185,000,000']"
tt4116284,"['$80,000,000']"
tt4425200,"['$40,000,000']"
tt2239822,"['$177,200,000']"
tt5580390,"['$19,400,000']"
tt1856101,"['$150,000,000']"
tt5052448,"['$4,500,000']"
tt4630562,"['$250,000,000']"
tt2250912,"['$175,000,000']"
tt2406566,"['$30,000,000']"
tt5519340,"['$90,000,000']"
tt3532216,"['$50,000,000']"
tt2527336,"['$220,009,584']"
tt5027774,"['$15,000,000']"
tt1396484,"['$35,000,000']"
tt5726616,"['€4,000,000']"
tt3890160,"['$34,000,000']"
tt1790809,"['$230,000,000']"
tt2543472,"['$20,000,000']"
tt4555426,"['$30,000,000']"
tt1469304,"['$69,000,000']"
tt5013056,"['$100,000,000']"
tt4925292,"['$10,000,000']"
tt5580036,"['$11,000,000']"
tt0451279,"['$149,000,000']"
tt5462602,"['$5,000,000']"
tt5439796,"['$29,000,000']"
tt6294822,"['$50,000,000']"
tt3315342,"['$97,000,000']"
tt4649466,"['$104,000,000']"
tt3402236,"['$55,000,000']"
tt1648190,"['$60,000,000']"
tt1219827,"['$110,000,000']"
tt2345759,"['$125,000,000']"
tt1972591,"['$175,000,000']"
tt5109784,"['$30,000,000']"
tt1959563,"['$30,000,000']"
tt2316204,"['$97,000,000']"
tt3371366,"['$217,000,000']"
tt3450958,"['$150,000,000']"
tt3896198,"['$200,000,000']"
tt3469046,"['$80,000,000']"
tt3348730,"['$10,000,000']"
tt6265828,"['$100,000']"
tt3874544,"['$125,000,000']"
tt4846232,"['$125,101']"
tt4765284,"['$45,000,000']"
tt4633690,"['$3,440,362']"
tt1241317,
tt4695012,"['$5,000,000']"
tt1293847,"['$85,000,000']"
tt1615160,"['$35,000,000']"
tt5776858,"['$35,000,000']"
tt3717490,"['$100,000,000']"
tt1389072,"['$68,000,000']"
tt4877122,"['$50,000,000']"
tt4468740,"['$40,000,000']"
tt3748172,
tt3829920,"['$38,000,000']"
tt4686844,"['$184,805']"
tt5294550,"['$50,000,000']"
tt5742374,"['$132,829']"
tt5638642,"['$1,569,665']"
tt5140878,"['$15,000,000']"
tt2226597,"['$35,000,000']"
tt4225622,
tt3922818,"['$30,000,000']"
tt3606752,"['$175,000,000']"
tt5478478,"['$39,000,000']"
tt4465564,"['$55,000,000']"
tt1961175,"['$33,000,000']"
tt5715874,"['$115,120']"
tt5988370,"['$8,000,000']"
tt4995790,"['$74,233']"
tt4481414,"['$7,000,000']"
tt4849438,"['रू2,500,000,000']"
tt4622512,"['$25,000,000']"
tt1536537,"['$27,975,429']"
tt5649144,"['$2,000,000']"
tt5657856,"['$64,453']"
tt4287320,"['$18,000,000']"
tt2568862,"['$25,000,000']"
tt5592248,"['$10,500,000']"
tt1753383,"['$22,000,000']"
tt1758810,"['$35,000,000']"
tt5308322,"['$4,800,000']"
tt4209788,"['$2,349,967']"
tt3967856,"['$50,000,000']"
tt1981128,"['$120,000,000']"
tt5657846,"['$69,000,000']"
tt2763304,"['$18,000,000']"
tt1860357,"['$110,000,000']"
tt1211837,"['$165,000,000']"
tt1431045,"['$58,000,000']"
tt3110958,"['$90,000,000']"
tt4550098,"['$22,500,000']"
tt1628841,"['$165,000,000']"
tt4776998,"['$90,000,000']"
tt2582782,"['$12,000,000']"
tt2277860,"['$200,000,000']"
tt2709768,"['$75,000,000']"
tt3263904,"['$60,000,000']"
tt3300542,"['$60,000,000']"
tt3385516,"['$178,000,000']"
tt1179933,"['$15,000,000']"
tt2404435,"['$90,000,000']"
tt2119532,"['$40,000,000']"
tt3062096,"['$75,000,000']"
tt3498820,"['$250,000,000']"
tt2005151,"['$40,000,000']"
tt4972582,"['$9,000,000']"
tt4975722,"['$4,000,000']"
tt0918940,"['$180,000,000']"
tt3183660,"['$180,000,000']"
tt1355644,"['$110,000,000']"
tt2543164,"['$47,000,000']"
tt3040964,"['$175,000,000']"
tt3553976,"['$93,824']"
tt4196776,"['$120,000,000']"
tt2140479,"['$44,000,000']"
tt4034228,"['$9,000,000']"
tt3741834,"['$12,000,000']"
tt3748528,"['$200,000,000']"
tt2660888,"['$185,000,000']"
tt4160708,"['$9,900,000']"
tt1489889,"['$50,000,000']"
tt3799694,"['$50,000,000']"
tt2094766,"['$125,000,000']"
tt3065204,"['$40,000,000']"
tt1935859,"['$110,000,000']"
tt3783958,"['$30,000,000']"
tt0803096,"['$160,000,000']"
tt2674426,"['$20,000,000']"
tt1386697,"['$175,000,000']"
tt3521164,"['$150,000,000']"
tt2975590,"['$250,000,000']"
tt1700841,"['$19,000,000']"
tt1289401,"['$144,000,000']"
