,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers
0,tt6644200,"['Drama', 'Horror', 'Thriller', 'Science Fiction']",91.0,2018-04-03,7,1,3,12,4.0,16.0,2,30
1,tt6155172,['Drama'],135.0,2018-08-25,21,1,1,10,4.0,16.0,2,11
2,tt1477834,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",143.0,2018-12-07,85,1,6,10,13.0,71.0,6,21
3,tt4881806,"['Action', 'Adventure', 'Science Fiction']",129.0,2018-06-06,104,1,3,7,9.0,114.0,4,48
4,tt1270797,"['Science Fiction', 'Action']",112.0,2018-09-28,123,1,5,9,4.0,121.0,7,27
5,tt2557478,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",111.0,2018-03-21,82,1,5,14,13.0,90.0,10,35
6,tt1517451,"['Drama', 'Music', 'Romance']",135.0,2018-10-03,127,1,9,15,8.0,66.0,7,16
7,tt4154756,"['Adventure', 'Action', 'Fantasy']",149.0,2018-04-25,103,2,12,14,19.0,182.0,3,44
8,tt5814060,"['Horror', 'Mystery', 'Thriller']",96.0,2018-09-05,51,1,2,9,4.0,33.0,3,18
9,tt7784604,"['Horror', 'Mystery', 'Thriller']",127.0,2018-06-04,32,1,1,13,2.0,8.0,1,25
10,tt5104604,"['Adventure', 'Comedy', 'Animation']",101.0,2018-03-23,49,1,4,13,17.0,2.0,4,1
11,tt3606756,"['Action', 'Adventure', 'Animation', 'Family']",118.0,2018-06-14,24,1,1,3,115.0,36.0,2,26
12,tt9495224,"['Science Fiction', 'Mystery', 'Drama', 'Thriller', 'TV Movie']",90.0,2018-12-28,22,1,1,5,5.0,5.0,2,2
13,tt3846674,"['Comedy', 'Romance']",99.0,2018-08-16,25,1,2,13,4.0,2.0,3,2
14,tt3766354,"['Thriller', 'Action', 'Crime']",122.0,2018-07-19,110,1,3,13,1.0,28.0,7,19
15,tt1502407,"['Thriller', 'Horror']",106.0,2018-10-18,63,1,5,18,2.0,10.0,6,1
16,tt1727824,"['Drama', 'Music']",135.0,2018-10-24,115,1,2,12,6.0,10.0,5,21
17,tt1677720,"['Adventure', 'Science Fiction']",140.0,2018-03-28,160,1,2,11,15.0,67.0,7,26
18,tt2854926,"['Comedy', 'Drama']",100.0,2018-05-30,74,1,3,7,4.0,27.0,2,8
