,0,1,2,3
tt6644200,"['Drama', 'Horror', 'Thriller', 'Science Fiction']",91.0,2018-04-03,7.4
tt6155172,['Drama'],135.0,2018-08-25,7.4
tt1477834,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",143.0,2018-12-07,7.4
tt4881806,"['Action', 'Adventure', 'Science Fiction']",129.0,2018-06-06,7.4
tt1270797,"['Science Fiction', 'Action']",112.0,2018-09-28,7.4
tt2557478,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",111.0,2018-03-21,7.4
tt1517451,"['Drama', 'Music', 'Romance']",135.0,2018-10-03,7.4
tt4154756,"['Adventure', 'Action', 'Fantasy']",149.0,2018-04-25,7.4
tt5814060,"['Horror', 'Mystery', 'Thriller']",96.0,2018-09-05,7.4
tt7784604,"['Horror', 'Mystery', 'Thriller']",127.0,2018-06-04,7.4
tt5104604,"['Adventure', 'Comedy', 'Animation']",101.0,2018-03-23,7.4
tt3606756,"['Action', 'Adventure', 'Animation', 'Family']",118.0,2018-06-14,7.4
tt9495224,"['Science Fiction', 'Mystery', 'Drama', 'Thriller', 'TV Movie']",90.0,2018-12-28,7.4
tt3846674,"['Comedy', 'Romance']",99.0,2018-08-16,7.4
tt3766354,"['Thriller', 'Action', 'Crime']",122.0,2018-07-19,7.4
tt1502407,"['Thriller', 'Horror']",106.0,2018-10-18,7.4
tt1727824,"['Drama', 'Music']",135.0,2018-10-24,7.4
tt1677720,"['Adventure', 'Science Fiction']",140.0,2018-03-28,7.4
tt2854926,"['Comedy', 'Drama']",100.0,2018-05-30,7.4
tt3778644,"['Action', 'Adventure', 'Science Fiction']",135.0,2018-05-15,7.4
tt5095030,"['Action', 'Adventure', 'Science Fiction', 'Comedy', 'Family']",119.0,2018-07-04,7.4
tt3104988,"['Comedy', 'Drama', 'Romance']",121.0,2018-08-15,7.4
tt1259528,"['Action', 'Thriller', 'Crime']",140.0,2018-01-18,7.4
tt2704998,"['Mystery', 'Comedy', 'Crime', 'Thriller']",101.0,2018-02-22,7.4
tt4633694,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",117.0,2018-12-07,7.4
tt1590193,"['Action', 'Thriller']",104.0,2018-01-11,7.4
tt5052474,"['Action', 'Crime', 'Drama', 'Thriller']",123.0,2018-06-27,7.4
tt7040874,"['Thriller', 'Crime', 'Mystery', 'Comedy', 'Drama']",117.0,2018-08-29,7.4
tt4123430,"['Family', 'Fantasy', 'Adventure']",134.0,2018-11-14,7.4
tt7668870,"['Drama', 'Thriller', 'Mystery']",103.0,2018-08-24,7.4
tt6412452,"['Comedy', 'Drama', 'Western']",132.0,2018-11-09,7.4
tt0261024,"['Music', 'Documentary']",465.0,1985-07-13,7.4
tt1213641,"['History', 'Drama']",141.0,2018-10-11,7.4
tt2873282,"['Mystery', 'Thriller']",140.0,2018-02-28,7.4
tt4912910,"['Action', 'Thriller', 'Adventure']",148.0,2018-07-13,7.4
tt2231461,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",107.0,2018-04-12,7.4
tt4500922,"['Action', 'Mystery', 'Science Fiction', 'Thriller', 'Adventure', 'Fantasy']",144.0,2018-01-10,7.4
tt5463162,"['Action', 'Comedy', 'Adventure']",121.0,2018-05-15,7.4
tt4779682,"['Action', 'Science Fiction', 'Thriller', 'Horror']",113.0,2018-08-09,7.4
tt6499752,"['Action', 'Thriller', 'Science Fiction', 'Horror']",100.0,2018-06-01,7.4
tt6628394,"['Thriller', 'Crime', 'Mystery', 'Drama']",142.0,2018-10-04,7.4
tt2737304,"['Thriller', 'Drama', 'Science Fiction', 'Horror']",124.0,2018-12-13,7.4
tt5164432,"['Comedy', 'Drama', 'Romance']",110.0,2018-02-16,7.4
tt2798920,"['Mystery', 'Science Fiction', 'Thriller', 'Horror', 'Adventure']",115.0,2018-02-22,7.4
tt5164214,"['Crime', 'Comedy', 'Action', 'Thriller']",111.0,2018-06-07,7.4
