,0,1,2,3,4,5,6,7,8,9
tt0261024,['161'],161,1,1,3,,,4,2,2
tt1213641,['158'],158,1,2,10,7,21,7,23,23
tt2873282,['79'],79,1,2,10,6,37,5,20,20
tt4912910,['96'],96,1,2,10,23,140,8,47,47
tt2231461,['118'],118,1,4,16,15,144,6,28,28
tt4500922,['41'],41,1,2,13,11,48,3,20,20
tt5463162,['69'],69,1,5,10,8,111,6,21,21
tt4779682,['39'],39,1,4,18,5,100,5,19,19
tt6499752,['34'],34,1,1,13,1,23,2,7,7
tt6628394,['39'],39,1,1,5,2,39,3,17,17
tt2737304,['42'],42,1,2,11,3,70,3,2,2
tt5164432,['105'],105,1,3,7,4,47,4,20,20
tt2798920,['28'],28,1,2,9,2,15,4,6,6
tt5164214,['237'],237,1,4,9,5,55,4,23,23
tt2548396,['20'],20,1,2,10,5,17,2,1,1
tt3829266,['64'],64,1,4,5,4,82,5,20,20
tt5758778,['64'],64,1,1,10,13,74,4,45,45
tt1825683,['135'],135,1,4,9,15,173,6,41,41
tt1365519,['62'],62,1,5,5,9,71,4,43,43
tt7349662,['53'],53,1,5,13,5,7,6,28,28
tt1413492,['76'],76,1,3,18,3,31,5,1,1
tt5688932,['85'],85,1,1,16,2,11,5,8,8
tt5246700,['44'],44,1,1,13,4,6,2,3,3
tt5610554,['34'],34,1,1,20,6,28,4,1,1
tt5220122,['48'],48,1,2,4,89,,1,21,21
tt2990140,['57'],57,1,2,14,9,28,4,1,1
tt5848272,['81'],81,2,6,5,96,58,2,18,18
tt7153766,['34'],34,1,2,7,3,5,3,12,12
tt7668842,['57'],57,1,3,2,5,,1,1,1
tt6911608,['242'],242,1,5,17,7,15,8,16,16
tt6212478,['85'],85,1,1,23,5,10,3,2,2
tt5397194,['53'],53,1,1,14,4,6,3,2,2
tt0795421,['76'],76,1,1,7,9,21,5,24,24
tt7014006,['42'],42,1,1,6,3,6,1,4,4
tt6343314,['254'],254,1,5,11,4,20,4,37,37
tt6133466,['101'],101,1,1,10,3,48,3,19,19
