,0
tt4154756,8.5
tt6644200,7.6
tt2548396,5.6
tt1259528,7.0
tt1213641,7.5
tt3778644,7.0
tt3829266,5.4
tt1825683,7.4
tt4633694,8.7
tt3104988,7.0
tt1517451,8.0
tt1727824,8.3
tt1590193,6.3
tt6412452,7.4
tt4881806,6.2
tt3606756,7.8
tt5164432,7.7
tt2231461,6.1
tt7040874,6.9
tt5463162,7.8
tt2854926,6.6
tt4500922,6.2
tt6499752,7.6
tt2737304,6.7
tt3766354,6.8
tt7668870,7.7
tt4912910,7.8
tt1365519,6.3
tt2557478,5.6
tt6155172,8.1
tt5758778,5.9
tt4123430,6.8
tt4779682,5.7
tt6628394,7.2
tt1677720,7.5
tt7349662,7.6
tt2704998,7.0
tt0261024,8.5
tt5095030,7.1
tt2873282,6.6
tt1477834,7.5
tt5164214,6.2
tt9495224,7.4
tt1502407,6.8
tt5814060,5.4
tt7784604,7.3
tt2798920,6.9
tt5052474,7.1
tt1270797,6.8
tt5104604,7.9
tt3846674,7.3
tt6850820,6.5
tt4701182,7.2
tt6791096,5.4
tt6217306,6.3
tt5246700,5.0
tt5610554,7.0
tt5397194,6.1
tt3799232,6.2
tt3892172,7.2
tt1620680,4.2
tt2531344,6.2
tt7014006,7.5
tt4575576,7.4
tt1137450,6.4
tt5083738,7.9
tt6921996,6.2
tt0795421,6.4
tt5688932,7.0
tt7153766,6.4
tt4560436,6.1
tt5028340,7.2
tt6966692,8.3
tt1413492,6.6
tt6697582,7.5
tt5848272,7.3
tt8108198,8.7
tt6133466,5.1
tt6911608,6.8
tt2119543,6.1
tt6306064,6.6
tt6663582,6.0
tt3201640,5.8
tt5304992,6.5
tt7431594,2.1
tt5834262,6.1
tt5783956,6.4
tt4218572,7.3
tt4244998,6.7
tt2388771,6.5
tt6212478,7.0
tt6452574,8.0
tt2990140,7.1
tt5726086,5.7
tt6343314,7.7
tt7668842,5.8
tt4477536,4.5
tt6772950,5.1
tt5220122,6.3
tt5117670,6.6
tt6998518,6.6
tt6679794,7.0
tt3521126,7.4
tt1485796,7.7
tt2380307,8.4
tt2771200,7.2
tt5442430,6.6
tt2283362,7.0
tt3501632,7.9
tt5362988,7.7
tt0974015,6.5
tt3731562,6.7
tt4116284,7.3
tt4425200,7.5
tt2239822,6.5
tt5580390,7.4
tt1856101,8.0
tt5052448,7.7
tt4630562,6.7
tt2250912,7.5
tt2406566,6.7
tt5519340,6.4
tt3532216,7.2
tt2527336,7.2
tt5027774,8.2
tt1396484,7.4
tt5726616,7.9
tt3890160,7.6
tt1790809,6.6
tt2543472,8.0
tt4555426,7.4
tt1469304,5.6
tt5013056,7.9
tt4925292,7.4
tt5580036,7.5
tt0451279,7.5
tt5462602,7.6
tt5439796,7.0
tt6294822,7.2
tt3315342,8.1
tt4649466,6.8
tt3402236,6.5
tt1648190,5.7
