,imdb_id,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genre(s)
0,tt6155172,135,2018-08-25,21,1,1,10,4,16,2,11,8,248120,8,['Drama']
1,tt1477834,143,2018-12-07,85,1,6,10,13,71,6,21,7,160000000,12,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']"
2,tt4881806,129,2018-06-06,104,1,3,7,9,114,4,48,6,170000000,6,"['Action', 'Adventure', 'Science Fiction']"
3,tt1270797,112,2018-09-28,123,1,5,9,4,121,7,27,6,100000000,9,"['Science Fiction', 'Action']"
4,tt2557478,111,2018-03-21,82,1,5,14,13,90,10,35,5,150000000,3,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']"
5,tt1517451,135,2018-10-03,127,1,9,15,8,66,7,16,8,36000000,10,"['Drama', 'Music', 'Romance']"
6,tt4154756,149,2018-04-25,103,2,12,14,19,182,3,44,8,321000000,4,"['Adventure', 'Action', 'Fantasy']"
7,tt5814060,96,2018-09-05,51,1,2,9,4,33,3,18,5,22000000,9,"['Horror', 'Mystery', 'Thriller']"
8,tt7784604,127,2018-06-04,32,1,1,13,2,8,1,25,7,10000000,6,"['Horror', 'Mystery', 'Thriller']"
9,tt5104604,101,2018-03-23,49,1,4,13,17,2,4,1,7,1620294,3,"['Adventure', 'Comedy', 'Animation']"
10,tt3606756,118,2018-06-14,24,1,1,3,115,36,2,26,7,200000000,6,"['Action', 'Adventure', 'Animation', 'Family']"
11,tt3766354,122,2018-07-19,110,1,3,13,1,28,7,19,6,62000000,7,"['Thriller', 'Action', 'Crime']"
12,tt1502407,106,2018-10-18,63,1,5,18,2,10,6,1,6,10000000,10,"['Thriller', 'Horror']"
13,tt1727824,135,2018-10-24,115,1,2,12,6,10,5,21,8,52000000,10,"['Drama', 'Music']"
14,tt1677720,140,2018-03-28,160,1,2,11,15,67,7,26,7,175000000,3,"['Adventure', 'Science Fiction']"
15,tt2854926,100,2018-05-30,74,1,3,7,4,27,2,8,6,28000000,5,"['Comedy', 'Drama']"
16,tt3778644,135,2018-05-15,93,1,3,16,18,112,4,39,7,300000000,5,"['Action', 'Adventure', 'Science Fiction']"
