,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month
1,tt6155172,"[""'Drama'""]",135,2018-08-25,21,1,1,10,4,16,2,11,8,248120,8
2,tt1477834,"[""'Action'"", "" 'Fantasy'"", "" 'Science Fiction'"", "" 'Adventure'""]",143,2018-12-07,85,1,6,10,13,71,6,21,7,160000000,12
3,tt4881806,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",129,2018-06-06,104,1,3,7,9,114,4,48,6,170000000,6
4,tt1270797,"[""'Science Fiction'"", "" 'Action'""]",112,2018-09-28,123,1,5,9,4,121,7,27,6,100000000,9
5,tt2557478,"[""'Action'"", "" 'Fantasy'"", "" 'Science Fiction'"", "" 'Adventure'""]",111,2018-03-21,82,1,5,14,13,90,10,35,5,150000000,3
6,tt1517451,"[""'Drama'"", "" 'Music'"", "" 'Romance'""]",135,2018-10-03,127,1,9,15,8,66,7,16,8,36000000,10
7,tt4154756,"[""'Adventure'"", "" 'Action'"", "" 'Fantasy'""]",149,2018-04-25,103,2,12,14,19,182,3,44,8,321000000,4
8,tt5814060,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",96,2018-09-05,51,1,2,9,4,33,3,18,5,22000000,9
9,tt7784604,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",127,2018-06-04,32,1,1,13,2,8,1,25,7,10000000,6
10,tt5104604,"[""'Adventure'"", "" 'Comedy'"", "" 'Animation'""]",101,2018-03-23,49,1,4,13,17,2,4,1,7,1620294,3
11,tt3606756,"[""'Action'"", "" 'Adventure'"", "" 'Animation'"", "" 'Family'""]",118,2018-06-14,24,1,1,3,115,36,2,26,7,200000000,6
14,tt3766354,"[""'Thriller'"", "" 'Action'"", "" 'Crime'""]",122,2018-07-19,110,1,3,13,1,28,7,19,6,62000000,7
15,tt1502407,"[""'Thriller'"", "" 'Horror'""]",106,2018-10-18,63,1,5,18,2,10,6,1,6,10000000,10
16,tt1727824,"[""'Drama'"", "" 'Music'""]",135,2018-10-24,115,1,2,12,6,10,5,21,8,52000000,10
17,tt1677720,"[""'Adventure'"", "" 'Science Fiction'""]",140,2018-03-28,160,1,2,11,15,67,7,26,7,175000000,3
18,tt2854926,"[""'Comedy'"", "" 'Drama'""]",100,2018-05-30,74,1,3,7,4,27,2,8,6,28000000,5
19,tt3778644,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",135,2018-05-15,93,1,3,16,18,112,4,39,7,300000000,5
20,tt5095030,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Comedy'"", "" 'Family'""]",119,2018-07-04,177,1,8,10,8,145,1,39,7,162000000,7
21,tt3104988,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'""]",121,2018-08-15,66,1,3,14,4,5,3,12,7,30000000,8
22,tt1259528,"[""'Action'"", "" 'Thriller'"", "" 'Crime'""]",140,2018-01-18,111,1,2,20,4,72,4,1,7,30000000,1
23,tt2704998,"[""'Mystery'"", "" 'Comedy'"", "" 'Crime'"", "" 'Thriller'""]",101,2018-02-22,65,2,1,10,3,30,6,18,7,37000000,2
24,tt4633694,"[""'Action'"", "" 'Adventure'"", "" 'Animation'"", "" 'Science Fiction'"", "" 'Comedy'""]",117,2018-12-07,74,3,19,10,275,32,7,29,8,90000000,12
25,tt1590193,"[""'Action'"", "" 'Thriller'""]",104,2018-01-11,78,1,3,9,3,42,8,1,6,30000000,1
26,tt5052474,"[""'Action'"", "" 'Crime'"", "" 'Drama'"", "" 'Thriller'""]",123,2018-06-27,106,1,1,11,3,55,3,49,7,35000000,6
27,tt7040874,"[""'Thriller'"", "" 'Crime'"", "" 'Mystery'"", "" 'Comedy'"", "" 'Drama'""]",117,2018-08-29,63,1,2,5,5,9,3,22,6,20000000,8
